JapaneseName,Name,BirthYear,Sex,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Bench1Kg,Bench2Kg,Bench3Kg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,TotalKg,lift,Team,Division,Place,Event,Equipment
菊地 雅,Miyabi Kikuchi,1998,F,46.4,47,75,80,85,45,50,55,100,110,115,255,346.12,春日部共栄高校,Sub-Juniors,1,SBD,Raw
清水 美弥,,2000,F,45.85,47,52.5,62.5,-65,32.5,37.5,40,75,85,-90,187.5,256.66,チームレスキューTG,Sub-Juniors,2,SBD,Raw
大西 翔子,Shoko Onishi,1999,F,52,52,95,105,-108,50,55,-60,110,120,120.5,280.5,349.68,京都府立北桑田高校,Sub-Juniors,1,SBD,Raw
浦野 萌々,,1998,F,54.9,57,65,75,-80,42.5,45.5,46,80,90,95,216,258.13,草加高校,Sub-Juniors,1,SBD,Raw
野村 優,,2000,F,62.2,63,70,80,85,-50,50,55,105,110,115,255,276.53,京都府立農芸高校,Sub-Juniors,1,SBD,Raw
ファルキ アブドゥルアズィーズ,Falki Abdulaziz,1998,M,52.4,53,120,132.5,-142.5,70,77.5,,140,-162.5,,350,340.71,浦和学院高校,Sub-Juniors,1,SBD,Raw
鈴木 雅人,,1999,M,51.95,53,90,105,-110,70,80,-82.5,115,135,-140,320,314.33,宇都宮工業高校,Sub-Juniors,2,SBD,Raw
森田 篤史,,1998,M,58.5,59,130,140,150,105,110,113,150,160,170,433,378.04,浦和学院高校,Sub-Juniors,1,SBD,Raw
松山 絢祐,,1998,M,57.2,59,100,-110,-110,70,72.5,-75,140,145,-150,317.5,283.17,東奥義塾高校,Sub-Juniors,2,SBD,Raw
石田 輝彦,,1999,M,56.8,59,95,100,-105,65,70,-72.5,140,145,-150,315,282.84,東奥義塾高校,Sub-Juniors,3,SBD,Raw
村岡 和,,1999,M,57.75,59,95,-100,105,50,55,-60,-140,145,-150,305,269.55,東奥義塾高校,Sub-Juniors,4,SBD,Raw
河南 文人,,1998,M,65.1,66,135,145,152.5,85,92.5,-95,150,160,170,415,329.58,京都府立北桑田高校,Sub-Juniors,1,SBD,Raw
関根 祐太,,1998,M,64.05,66,125,-140,-140,-80,-80,-80,,,,,,春日部共栄高校,Sub-Juniors,DQ,SBD,Raw
村上 翔太,,1998,M,72.9,74,125,135,145,110,117.5,120,-180,180,200,465,338.09,浦和学院高校,Sub-Juniors,1,SBD,Raw
田中 啓左,,1998,M,72.55,74,130,145,155,100,110,112.5,-160,160,175,442.5,322.86,仙台東高校,Sub-Juniors,2,SBD,Raw
田中 眞,,1998,M,71.7,74,120,135,145,90,105,-110,150,170,-190,420,309.11,京都府立農芸高校,Sub-Juniors,3,SBD,Raw
斉藤 龍,,1998,M,80.95,83,175,182.5,-190,110,115,117.5,200,207.5,212.5,512.5,347.31,浦和学院高校,Sub-Juniors,1,SBD,Raw
秋本 凌,,1998,M,81.7,83,-160,160,-180,110,115,120,-200,200,225,505,340.3,春日部共栄高校,Sub-Juniors,2,SBD,Raw
下山 淳,,1998,M,87.4,93,145,-150,150,85,-90,-90,180,-200,-202.5,415,269.03,東奥義塾高校,Sub-Juniors,1,SBD,Raw
平川 慧,,1998,M,102.45,105,180,190,-200,105,115,-123,180,190,200,505,304.47,パワーハウス,Sub-Juniors,1,SBD,Raw
藤野 利咲,,1996,F,43,43,50,55,-60,30,35,-37.5,65,75,-80,165,235.87,個  人,Juniors,1,SBD,Raw
入船 美月,,1994,F,47,47,72.5,82.5,-87.5,42.5,47.5,52.5,100,110,-117.5,245,329.5,岡山大学,Juniors,1,SBD,Raw
伊東 咲子,,1996,F,51.8,52,85,92.5,-97.5,45,50,55,125,132.5,-142.5,280,350.1,東京大学,Juniors,1,SBD,Raw
寺原 万留々,,1993,F,62.6,63,150,-162.5,162.5,70,-77.5,-77.5,150,-160,160,392.5,423.57,京都学園大学,Juniors,1,SBD,Raw
堤  彩夏,,1995,F,61.05,63,117.5,127.5,-135,60,65,-70,135,140,145,337.5,371.27,京都学園大学,Juniors,2,SBD,Raw
窓場 加津紗,,1996,F,67.65,72,145,155,-160,70,75,-82.5,160,170,-180,400,407.6,京都学園大学,Juniors,1,SBD,Raw
丹  優樹,,1993,M,52.95,53,120,-127.5,130,90,95,-97.5,180,190.5,-200,415.5,400.13,スーパーパワーアサマTC,Juniors,1,SBD,Raw
